train_loss,val_loss,train_dice,val_dice,train_jaccard,val_jaccard,train_acc,val_acc,train_sen,val_sen,train_spf,val_spf
0.10180343250137064,0.14454958029091358,0.9181638,0.88135105,0.85050195,0.7922311,0.9967406962443741,0.9953119661293777,0.9199264,0.8729029,0.9982964002077852,0.9978922149714302
0.10126921753236903,0.14400718098177628,0.91857654,0.8820078,0.85117465,0.79315466,0.9967597096318235,0.9953142521428127,0.9195317,0.87244296,0.9983272315257817,0.9979019813677844
0.10088681957837362,0.1441467523793964,0.9188862,0.8817714,0.85169095,0.79278356,0.9967684081537806,0.9953127047594856,0.9208108,0.87421435,0.9983044180703994,0.9978805219425875
0.10036972595091483,0.14374275154927196,0.9192812,0.88232124,0.8523338,0.7935726,0.996786898048363,0.9953127047594857,0.9201841,0.8740044,0.9983441289977648,0.9978749348836786
0.1000317999194214,0.1437977613771663,0.9195506,0.88213485,0.8527888,0.7932556,0.9967942759765321,0.9953128029318417,0.9217075,0.875113,0.9983108639717102,0.9978774908710929
0.09948933118982102,0.14349097890012405,0.91997033,0.88266134,0.85347265,0.79401,0.9968139172391117,0.9953097408893062,0.9208042,0.8760544,0.998360972499373,0.9978370315888349
0.09916874692214663,0.14352967480526252,0.92023766,0.882438,0.85393184,0.79364234,0.9968209155954137,0.9953119521047554,0.92249507,0.8754798,0.9983210664483445,0.9978838475311503
0.09859627876338081,0.1432149174677975,0.92067784,0.8829879,0.85465276,0.79441035,0.9968409735962724,0.9953050987393249,0.92150056,0.87829286,0.9983744514522268,0.9977982657797196
0.09824057837104916,0.1432693749666214,0.92097133,0.88280886,0.8551604,0.7941146,0.9968495629913178,0.9953091284807991,0.9230919,0.87582415,0.9983379941674607,0.9978881618555855
0.097666484725416,0.14320995340890744,0.92143667,0.8830406,0.8559253,0.79442906,0.9968690579605736,0.9952976282905129,0.9225122,0.87995666,0.9983813893142625,0.9977718661813175
0.09731898393797044,0.14282197866807966,0.92171603,0.8834014,0.8564059,0.79490596,0.9968791189873791,0.9953063983543246,0.9232837,0.8773688,0.998366089009527,0.9978611539391911
0.09698085700027385,0.14348597419174278,0.9219655,0.8827081,0.85681456,0.7939181,0.9968877210348203,0.9952955760207831,0.9239411,0.87936985,0.9983677404436899,0.997801216209636
0.09692865002214612,0.142327421290033,0.921955,0.8840165,0.8568044,0.79570085,0.9968931576110436,0.9952927757711971,0.9224949,0.8828425,0.9983998492582521,0.9977230429649353
0.09686313148828882,0.1430224358816357,0.92198676,0.8832397,0.8568742,0.79462105,0.9968895010687225,0.9952996057622573,0.92517734,0.87742007,0.998338535353912,0.997883083189235
0.09624211078704294,0.14305926453979576,0.9224854,0.8832269,0.8577134,0.7946221,0.9969153167003423,0.9952859551298853,0.9228806,0.88384634,0.9984182341774898,0.9976819999077741
0.09579994651808668,0.1417234023923383,0.9228348,0.884676,0.8583081,0.7965919,0.9969260356517179,0.9952957489911246,0.9248527,0.8831493,0.9983786661826556,0.997777405907126
